Timestamp;IP;MAC;tension;temperature;current
2025-04-17 10:57:53;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
2025-04-17 11:01:57;123465;161562567;16;16;14
